	OrphaNumber	Disease_name	GeneAssociationCount	Associated_genes	Gene_IDs	Association_types	Association_statuses
0	166024	Multiple epiphyseal dysplasia, Al-Gazali type	1	['kinesin family member 7']	[{'ExternalReference': [{'id': '57240', 'Source': 'Ensembl', 'Reference': 'ENSG00000166813'}, {'id': '51758', 'Source': 'Genatlas', 'Reference': 'KIF7'}, {'id': '51756', 'Source': 'HGNC', 'Reference': '30497'}, {'id': '51757', 'Source': 'OMIM', 'Reference': '611254'}, {'id': '97306', 'Source': 'Reactome', 'Reference': 'Q2M1P5'}, {'id': '51759', 'Source': 'SwissProt', 'Reference': 'Q2M1P5'}], 'count': '6'}]	['Disease-causing germline mutation(s) in']	['Assessed']
1	93	Aspartylglucosaminuria	1	['aspartylglucosaminidase']	[{'ExternalReference': [{'id': '126323', 'Source': 'Reactome', 'Reference': 'P20933'}, {'id': '56681', 'Source': 'Ensembl', 'Reference': 'ENSG00000038002'}, {'id': '26679', 'Source': 'Genatlas', 'Reference': 'AGA'}, {'id': '26681', 'Source': 'HGNC', 'Reference': '318'}, {'id': '44364', 'Source': 'OMIM', 'Reference': '613228'}, {'id': '32441', 'Source': 'SwissProt', 'Reference': 'P20933'}], 'count': '6'}]	['Disease-causing germline mutation(s) in']	['Assessed']
2	166035	Brachydactyly-short stature-retinitis pigmentosa syndrome	1	['CWC27 spliceosome associated protein homolog']	['\n            ']	['Disease-causing germline mutation(s) in']	['Assessed']
3	585	Multiple sulfatase deficiency	1	['sulfatase modifying factor 1']	[{'ExternalReference': [{'id': '56683', 'Source': 'Ensembl', 'Reference': 'ENSG00000144455'}, {'id': '27163', 'Source': 'Genatlas', 'Reference': 'SUMF1'}, {'id': '27161', 'Source': 'HGNC', 'Reference': '20376'}, {'id': '27160', 'Source': 'OMIM', 'Reference': '607939'}, {'id': '82828', 'Source': 'Reactome', 'Reference': 'Q8NBK3'}, {'id': '32541', 'Source': 'SwissProt', 'Reference': 'Q8NBK3'}], 'count': '6'}]	['Disease-causing germline mutation(s) in']	['Assessed']
4	118	Beta-mannosidosis	1	['mannosidase beta']	[{'ExternalReference': [{'id': '100307', 'Source': 'Reactome', 'Reference': 'O00462'}, {'id': '31235', 'Source': 'Genatlas', 'Reference': 'MANBA'}, {'id': '31013', 'Source': 'HGNC', 'Reference': '6831'}, {'id': '31012', 'Source': 'OMIM', 'Reference': '609489'}, {'id': '33439', 'Source': 'SwissProt', 'Reference': 'O00462'}, {'id': '56684', 'Source': 'Ensembl', 'Reference': 'ENSG00000109323'}], 'count': '6'}]	['Disease-causing germline mutation(s) in']	['Assessed']
5	166068	Pontocerebellar hypoplasia type 5	1	['tRNA splicing endonuclease subunit 54']	[{'ExternalReference': [{'id': '58222', 'Source': 'Ensembl', 'Reference': 'ENSG00000182173'}, {'id': '39384', 'Source': 'Genatlas', 'Reference': 'TSEN54'}, {'id': '39385', 'Source': 'HGNC', 'Reference': '27561'}, {'id': '39386', 'Source': 'OMIM', 'Reference': '608755'}, {'id': '97270', 'Source': 'Reactome', 'Reference': 'Q7Z6J9'}, {'id': '39387', 'Source': 'SwissProt', 'Reference': 'Q7Z6J9'}], 'count': '6'}]	['Disease-causing germline mutation(s) in']	['Assessed']
6	166063	Pontocerebellar hypoplasia type 4	1	['tRNA splicing endonuclease subunit 54']	[{'ExternalReference': [{'id': '58222', 'Source': 'Ensembl', 'Reference': 'ENSG00000182173'}, {'id': '39384', 'Source': 'Genatlas', 'Reference': 'TSEN54'}, {'id': '39385', 'Source': 'HGNC', 'Reference': '27561'}, {'id': '39386', 'Source': 'OMIM', 'Reference': '608755'}, {'id': '97270', 'Source': 'Reactome', 'Reference': 'Q7Z6J9'}, {'id': '39387', 'Source': 'SwissProt', 'Reference': 'Q7Z6J9'}], 'count': '6'}]	['Disease-causing germline mutation(s) in']	['Assessed']
7	166078	Von Willebrand disease type 1	1	['von Willebrand factor']	[{'ExternalReference': [{'id': '60135', 'Source': 'Ensembl', 'Reference': 'ENSG00000110799'}, {'id': '27848', 'Source': 'Genatlas', 'Reference': 'VWF'}, {'id': '27846', 'Source': 'HGNC', 'Reference': '12726'}, {'id': '48343', 'Source': 'OMIM', 'Reference': '613160'}, {'id': '60136', 'Source': 'Reactome', 'Reference': 'P04275'}, {'id': '32686', 'Source': 'SwissProt', 'Reference': 'P04275'}], 'count': '6'}]	['Disease-causing germline mutation(s) in']	['Assessed']
8	166073	Pontocerebellar hypoplasia type 6	1	['arginyl-tRNA synthetase 2, mitochondrial']	[{'ExternalReference': [{'id': '60133', 'Source': 'Ensembl', 'Reference': 'ENSG00000146282'}, {'id': '36843', 'Source': 'Genatlas', 'Reference': 'RARS2'}, {'id': '36844', 'Source': 'HGNC', 'Reference': '21406'}, {'id': '37582', 'Source': 'OMIM', 'Reference': '611524'}, {'id': '60134', 'Source': 'Reactome', 'Reference': 'Q5T160'}, {'id': '36845', 'Source': 'SwissProt', 'Reference': 'Q5T160'}], 'count': '6'}]	['Disease-causing germline mutation(s) in']	['Assessed']
9	166084	Von Willebrand disease type 2A	1	['von Willebrand factor']	[{'ExternalReference': [{'id': '60135', 'Source': 'Ensembl', 'Reference': 'ENSG00000110799'}, {'id': '27848', 'Source': 'Genatlas', 'Reference': 'VWF'}, {'id': '27846', 'Source': 'HGNC', 'Reference': '12726'}, {'id': '48343', 'Source': 'OMIM', 'Reference': '613160'}, {'id': '60136', 'Source': 'Reactome', 'Reference': 'P04275'}, {'id': '32686', 'Source': 'SwissProt', 'Reference': 'P04275'}], 'count': '6'}]	['Disease-causing germline mutation(s) in']	['Assessed']
